Id,AcceptedAnswerId,CreationDate,Score,ViewCount,Body,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate
"79060676","79072024","2024-10-07 05:26:33","1","126","<p>A couple of years ago, the Microsoft Quantum Development Kit was introduced for Visual Studio 2022.  However, the <a href=""https://marketplace.visualstudio.com/items?itemName=quantum.DevKit"" rel=""nofollow noreferrer"">published link</a> now returns a Page Not Found message, and searching through the Visual Studio Marketplace does not bring up any relevant tools.</p>
<p>Doing a Google search for the QDK returns results only for the VS Code extension/tools.</p>
<p>Has Microsoft discontinued QDK and Q# support for the full version of Visual Studio?  Is VS Code the only option now?</p>
","Are Q# and the Microsoft Quantum Development Kit available for Visual Studio 2022?","<visual-studio><quantum-computing><q#><qdk>","1","0","",""
"79002429","","2024-09-19 12:04:45","1","32","<p>I'm trying to simulate the dynamics of an open quantum system using the mcsolve function from QuTiP,</p>
<pre><code>mc = mcsolve(H, psi0, dt, [L1,L3], [op], ntraj = 5)
</code></pre>
<p>but I keep running into a TypeError regarding incompatible dimensions when running the code. Below is the error message:</p>
<pre><code>TypeError: incompatible dimensions[[2, 2], [2, 2]], [[2, 2, 1], [2, 2, 1]]
</code></pre>
<p>I suspect the issue might be related to how the initial state psi0 is constructed</p>
<pre><code>from qutip import rand_ket
def psi0(n_qubits):
    &quot;&quot;&quot; Creates a random pure state for an n-qubit system. &quot;&quot;&quot;
    # Calculate the dimension of the Hilbert space
    dim = 2**(n_qubits)
    
    # Create a random column vector and normalize it
    psi_0 = rand_ket(dim)
    
    return psi_0
</code></pre>
<p>or how the operators L1 and L3 are constructed</p>
<pre><code>from qutip import mcsolve,Qobj, tensor, sigmax, sigmay, sigmaz, qeye
# Define the Gamma values (dissipation rates)
nsite = 2
Gamma1 = 0.1
Gamma2 = 0.1
Gamma3 = 0.1
Gamma4 = 0.1

# Define spin operators for Lindblad terms
sigmap = (sigmax() + 1j * sigmay()) * 0.5
sigmam = (sigmax() - 1j * sigmay()) * 0.5

# Define identity matrices for tensor products
identity_nsite_1 = qeye(2 ** (nsite - 1))
identity_nsite_2 = qeye((2**nsite/2))
identity_nsite_3 = qeye(2**((nsite/2)-1))


# Construct Lindblad operators
L1 = Gamma1 * tensor(sigmap, identity_nsite_1)
L3 = Gamma3 * tensor(identity_nsite_2, sigmap, identity_nsite_3)
</code></pre>
<p>I tried to print out the dimensions of the operators (H, L1, L3, op) and the wavefunction (psi0), they all seem to be consistent. Here’s the output for their dimensions:</p>
<pre><code>Dimension of H: (4, 4); Dimension of L1: (4, 4); Dimension of L3: (4, 4); Dimension of op1: (4, 4); Dimension of psi0: (4, 1)
</code></pre>
<p>Despite this, the error persists. I expected the code to run without errors because the dimensions seemed to match correctly.</p>
<p>Any help or suggestions would be greatly appreciated!</p>
<p>Thanks in advance!</p>
","QuTiP mcsolve TypeError: Incompatible dimensions when passing initial state","<physics><dimensions><quantum-computing><qutip>","0","0","",""
"78912366","78933884","2024-08-25 22:05:58","2","109","<p>I want to use AES-256 with python's cryptography.fernet.Fernet class. I have generated two keys with Fernet.generate_key() and tried to run the version of the following code (where instead of key1 and key2 there are actual keys):</p>
<pre class=""lang-py prettyprint-override""><code>import base64
from cryptography.fernet import Fernet

f = Fernet(Fernet.generate_key())

f._signing_key = base64.urlsafe_b64decode(key1)
f._encryption_key = base64.urlsafe_b64decode(key2)

token = f.encrypt(b'Secret message!')
print(f'{token}')

print(f.decrypt(token).decode())
</code></pre>
<p>It worked, but does this use AES-256 instead of AES-128?</p>
<p>Also, is this code quantum computers resistant? If this is not the case, how can I use Fernet class to do post-quantum cryptography?</p>
","Use AES-256 with python's cryptography.fernet.Fernet by changing values of _signing_key and _encryption_key fields","<python><cryptography><aes><quantum-computing><python-cryptography>","1","1","",""
"78799576","78801021","2024-07-26 18:59:41","2","176","<p>I am working with Qiskit for programming quantum circuits. Everything works fine but there is one thing which I didn't find out.</p>
<p>Here is my Python code:</p>
<pre class=""lang-py prettyprint-override""><code>from qiskit import QuantumCircuit

qc = QuantumCircuit(2)

qc.h(0)
qc.cx(0, 1)

qc.draw(output = &quot;mpl&quot;)
</code></pre>
<p>This is my output:</p>
<p><a href=""https://i.sstatic.net/VCTUue0t.png"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/VCTUue0t.png"" alt=""Quantum Circuit"" /></a></p>
<p>I am only interested into the graphical representation of the Hadamard gate (red one). I need it for a description. I don't need the wires and the qubits. How can I save the Hadamard gate as png/svg file using Qiskit?</p>
","How can I save quantum gates as a graphic in png/svg format using Qiskit?","<python><quantum-computing><qiskit>","2","0","",""
"78654941","","2024-06-22 02:04:07","2","62","<p>I'm trying to make a quantum circuit for a uniform quantum state. Below is the code that constructs the circuit, which works well on the 'default.qubit' device. However, when I try to run this code on real hardware (IBM-Kyoto), I get the following error message:</p>
<p>ValueError: At least one work wire is required to decompose operation: MultiControlledX
Output is truncated. View as a scrollable element or open in a text editor. Adjust cell output settings...</p>
<p>From the error message, I understand that I need to add an ancilla qubit for decomposing the CCCNOT gate into CNOT gates. How can I modify my code to include ancilla qubits for this purpose?</p>
<p><a href=""https://i.sstatic.net/Hl06IC1O.png"" rel=""nofollow noreferrer"">Quantum Circuit code to run it in IBM hardware</a></p>
<p>I have add an additional wire(qubit) to the circuit. However when I plot the circuit the additional wire did not appear. So I add an Identity gate to that wire and plotted again. The additional wire appeared to the plot. However this did not solve the problem<a href=""https://i.sstatic.net/iY4DAMj8.png"" rel=""nofollow noreferrer"">Circuit Code with additional wire and Identity matrix applied</a></p>
<p>The Circuit Code:</p>
<p>def uqs_ibm(nq: int, shots: int):
dev = qml.device('qiskit.ibmq', wires=nq+2, shots=shots, backend='ibm_kyoto', ibmqx_token=&quot;XXX&quot;)</p>
<pre><code>@qml.qnode(dev)
def circuit():
    qml.RY(theta_1 * 2, wires=0)
    
    for i in range(1, nq):  # Start from 1 since control is 0
        qml.ctrl(qml.Hadamard(i), (0))

    qml.ctrl(qml.RY, control=(0), control_values=(1))(theta_1, wires=1)
    
    
    for i in range(2, nq):
        qml.ctrl(qml.Hadamard(i), control=(0, 1), control_values=(0, 1))
        
    qml.ctrl(qml.RY, control=(0, 1), control_values=(0, 0))(theta_2, wires=2)
    
    qml.ctrl(qml.Hadamard, control=(0, 1, 2), control_values=(0, 0, 1), work_wires=5)(wires=3)
    qml.ctrl(qml.Hadamard, control=(0, 1, 2), control_values=(0, 0, 1), work_wires=6)(wires=4)
    
    return qml.probs(wires=range(nq))  # Return probabilities for all qubits

return circuit
</code></pre>
","How can I add an ancilla qubit for decompose operation (MultiControlledX) in Pennylane?","<python><quantum-computing><qiskit>","0","1","",""
"78628261","","2024-06-16 04:26:59","1","44","<p>In paper <a href=""https://arxiv.org/abs/2001.00550"" rel=""nofollow noreferrer"">Cost function dependent barren plateaus in shallow
parametrized quantum circuits</a>, the author exhibit an warm-up example in page 2 to show the barren plateau phenomenon. In this example, the author presented cost function and global cost function. Then the variance of global gradient is <img src=""https://latex.codecogs.com/svg.image?Var%5B%5Cfrac%7B%5Cpartial&amp;space;C_%7Bg%7D%7D%7B%5Cpartial%5Ctheta%5E%7Bj%7D%7D%5D=%5Cfrac%7B1%7D%7B8%7D*%5Cfrac%7B3%7D%7B8%7D%5E%7Bn-1%7D"" alt=""image"" />. It is pretty confusing to me about getting the result of this variance, can someone please help me with this calculation?</p>
<p>I have assumed that the variance should be <img src=""https://latex.codecogs.com/svg.image?Var(%5Ctheta)=E(%5Ctheta%5E%7B2%7D)-E%5E%7B2%7D(%5Ctheta)"" alt=""image"" />, and the estimation of x should be <img src=""https://latex.codecogs.com/svg.image?E(x)=%5Cint_%7Ba%7D%5E%7Bb%7Dx*f(x)%5Cmathrm%7Bd%7Dx"" alt=""image"" />, but it is not correct for me to imply these equitions.</p>
","Calculating variance of gradient of barren plateau problem in quantum variational circuit","<gradient><gradient-descent><variance><quantum-computing>","0","0","",""
"78449203","78449252","2024-05-08 14:16:45","1","259","<p>I am trying to run BB84 protocol code on latest Qiskit version 1.0.2 and getting this error.</p>
<blockquote>
<p>ModuleNotFoundError: No module named 'qiskit.monitor'</p>
</blockquote>
<pre class=""lang-py prettyprint-override""><code>from qiskit import *
import numpy as np
from qiskit.visualization import plot_histogram
from qiskit.monitor import job_monitor
%matplotlib inline
from tabulate import tabulate
</code></pre>
","ModuleNotFoundError: No module named 'qiskit.monitor'","<python><jupyter><quantum-computing><qiskit>","1","1","",""
"78440866","","2024-05-07 07:38:29","1","63","<p>In an oracle for Deutsch Jozsa, we have an input x and y; the output is x and y xor f(x). We apply Hadamard to both the bits at the beginning, but we don't apply it at the end for y qubit. why is that? also, is the purpose of y only reversibility? And how is it that y's output is always y xor f(x)? What is the intuitive explanation behind this?</p>
<p>I'm just starting with quantum, and until now, it's been all explanatory, but this is confusing me.</p>
<p><a href=""https://i.sstatic.net/lGARNX29.png"" rel=""nofollow noreferrer"">Oracle</a></p>
","I want to understand the intuition behind oracles and quantum algorithms","<algorithm><quantum-computing>","0","0","",""
"78420644","","2024-05-02 16:55:40","1","31","<p>I am working on a Grover's algorithm in Qiskit with two oracles. Each oracle marks a different state as &quot;good&quot;. I want to add a few more oracles to mark specific states as &quot;bad&quot;, in order to decrease their probability relative to other states. Could someone advise on how to write such oracles..? Thank you</p>
<p>Here's my current implementation:</p>
<pre><code>from qiskit import QuantumCircuit, transpile, execute
from qiskit_aer import AerSimulator
import numpy as np

def oracle127(qc):
    n = 10
    qc.x([0, 1, 2])
    qc.mcx([i for i in range(n)], n)
    qc.x([0, 1, 2])
    return qc

def oracle896(qc):
    n = 10
    qc.x([3, 4, 5, 6, 7, 8, 9])
    qc.mcx([i for i in range(n)], n)
    qc.x([3, 4, 5, 6, 7, 8, 9])
    return qc

def main():
    n = 10  # Number of qubits
    qc = QuantumCircuit(n + 1, n)
    qc.x(n)
    qc.h(range(n + 1))
    k = 2  # Number of oracles
    r = int(np.pi * np.sqrt(2**n/k) / 4)  # Number of iterations
    for _ in range(r):
        qc = oracle127(qc)  # Apply first oracle
        qc = oracle896(qc)  # Apply second oracle
        # Diffusion operation
        qc.h(range(n))
        qc.x(range(n))
        qc.h(n - 1)
        qc.mcx([i for i in range(n-1)], n - 1)
        qc.h(n - 1)
        qc.x(range(n))
        qc.h(range(n))
    qc.measure(range(n), range(n))

    backend = AerSimulator()
    compiled_circuit = transpile(qc, backend)
    job = backend.run(compiled_circuit, shots=1000)
    counts = job.result().get_counts()
    print(counts)

main()
</code></pre>
","Adding ""Bad"" State Oracles to Grover's Algorithm in Qiskit","<quantum-computing><qiskit>","0","0","",""
"78381677","","2024-04-24 23:56:01","2","96","<p>For the oracle of Grover's algorithm, there is an explanation that we use a phase-kick back as follows.</p>
<p>That is, we can tell if f(|x&gt;) is 1 as it will change the output |x&gt;.</p>
<p><a href=""https://i.sstatic.net/I728Q.png"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/I728Q.png"" alt=""enter image description here"" /></a></p>
<p>My question is,</p>
<ol>
<li><p>How can we be sure that the coefficient (-1)^f(x) is attached to |x&gt;, not to the auxiliary bit (|y&gt;)?</p>
</li>
<li><p>And why is this interpretation useful? I don't see any use of this auxiliary bit in implementing Grover's algorithm.</p>
</li>
</ol>
<p>I'm looking forward to an answer to the above two questions.</p>
","How to interpret a phase kickback in Grover's algorithm","<quantum-computing><grover>","1","0","",""
"78320664","","2024-04-13 13:04:26","2","183","<p>I am recieveing the error: ModuleNotFoundError: No module named 'tensorflow_quantum' in google colab when i try importing tensorflow-quantum</p>
<p>I tried installing the package &quot;tensorflow-quantum&quot; over and over again. I also installed it manually by cloning it from github to no avail. Also note that i have read the instructions for installing the package including the python version requirement and followed them to no avail. I tried same process in jupyter-notebook but still get the same error message. Its so frustrating.</p>
","Google Colab Error: ModuleNotFoundError: No module named 'tensorflow_quantum'","<tensorflow><jupyter-notebook><google-colaboratory><quantum-computing><tensorflow-quantum>","1","4","",""
